OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,lt,central,5,0.0,2.5,30,120,0,1,0.91214
L,lt,up,5,0.0,2.5,30,120,0,1,0.99338
L,lt,down,5,0.0,2.5,30,120,0,1,0.83089
L,lt,central,4,0.0,2.5,30,120,0,1,0.91214
L,lt,up,4,0.0,2.5,30,120,0,1,1.07462
L,lt,down,4,0.0,2.5,30,120,0,1,0.74964
L,lt,central,5,0.0,2.5,120,180,0,1,0.90771
L,lt,up,5,0.0,2.5,120,180,0,1,1.00701
L,lt,down,5,0.0,2.5,120,180,0,1,0.80834
L,lt,central,4,0.0,2.5,120,180,0,1,0.90771
L,lt,up,4,0.0,2.5,120,180,0,1,1.10631
L,lt,down,4,0.0,2.5,120,180,0,1,0.70897
L,lt,central,5,0.0,2.5,180,240,0,1,0.98221
L,lt,up,5,0.0,2.5,180,240,0,1,1.02519
L,lt,down,5,0.0,2.5,180,240,0,1,0.93912
L,lt,central,4,0.0,2.5,180,240,0,1,0.98221
L,lt,up,4,0.0,2.5,180,240,0,1,1.06817
L,lt,down,4,0.0,2.5,180,240,0,1,0.89602
L,lt,central,5,0.0,2.5,240,450,0,1,0.8833
L,lt,up,5,0.0,2.5,240,450,0,1,0.9943
L,lt,down,5,0.0,2.5,240,450,0,1,0.77204
L,lt,central,4,0.0,2.5,240,450,0,1,0.8833
L,lt,up,4,0.0,2.5,240,450,0,1,1.10529
L,lt,down,4,0.0,2.5,240,450,0,1,0.66078
M,lt,central,5,0.0,2.5,30,120,0,1,0.90945
M,lt,up,5,0.0,2.5,30,120,0,1,1.00012
M,lt,down,5,0.0,2.5,30,120,0,1,0.81875
M,lt,central,4,0.0,2.5,30,120,0,1,0.90945
M,lt,up,4,0.0,2.5,30,120,0,1,1.09079
M,lt,down,4,0.0,2.5,30,120,0,1,0.72805
M,lt,central,5,0.0,2.5,120,180,0,1,0.95695
M,lt,up,5,0.0,2.5,120,180,0,1,1.05001
M,lt,down,5,0.0,2.5,120,180,0,1,0.86364
M,lt,central,4,0.0,2.5,120,180,0,1,0.95695
M,lt,up,4,0.0,2.5,120,180,0,1,1.14307
M,lt,down,4,0.0,2.5,120,180,0,1,0.77032
M,lt,central,5,0.0,2.5,180,240,0,1,1.04871
M,lt,up,5,0.0,2.5,180,240,0,1,1.10683
M,lt,down,5,0.0,2.5,180,240,0,1,0.99034
M,lt,central,4,0.0,2.5,180,240,0,1,1.04871
M,lt,up,4,0.0,2.5,180,240,0,1,1.16494
M,lt,down,4,0.0,2.5,180,240,0,1,0.93197
M,lt,central,5,0.0,2.5,240,450,0,1,0.91987
M,lt,up,5,0.0,2.5,240,450,0,1,1.01457
M,lt,down,5,0.0,2.5,240,450,0,1,0.82441
M,lt,central,4,0.0,2.5,240,450,0,1,0.91987
M,lt,up,4,0.0,2.5,240,450,0,1,1.10927
M,lt,down,4,0.0,2.5,240,450,0,1,0.72896
L,incl,central,0,0.0,2.5,20,1000,0,1,1.28633+0.000194454*x+3.68642e-07*x*x-4.48844e-10*x*x*x 
L,incl,down,0,0.0,2.5,20,1000,0,1,1.21453+0.000114908*x+5.71514e-07*x*x-5.73171e-10*x*x*x 
L,incl,up,0,0.0,2.5,20,1000,0,1,1.35818+0.000274184*x+1.64584e-07*x*x-3.23984e-10*x*x*x 
M,incl,central,0,0.0,2.5,20,1000,0,1,1.61315-0.00131388*x+3.83896e-06*x*x-2.46171e-09*x*x*x 
M,incl,down,0,0.0,2.5,20,1000,0,1,1.41335-0.00130138*x+3.73287e-06*x*x-2.38111e-09*x*x*x 
M,incl,up,0,0.0,2.5,20,1000,0,1,1.81426-0.00133172*x+3.96074e-06*x*x-2.56176e-09*x*x*x 
T,incl,central,0,0.0,2.5,20,1000,0,1,1.73822-7.53842e-06*x+2.41538e-07*x*x 
T,incl,down,0,0.0,2.5,20,1000,0,1,1.329+2.79543e-06*x+2.07092e-07*x*x 
T,incl,up,0,0.0,2.5,20,1000,0,1,2.14772-1.96331e-05*x+2.79195e-07*x*x 
