OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, lt, central, 2, 0.0, 2.5, 30, 120, 0, 1, "0.91214"
0, lt, up, 2, 0.0, 2.5, 30, 120, 0, 1, "0.99338"
0, lt, down, 2, 0.0, 2.5, 30, 120, 0, 1, "0.83089"
0, lt, central, 2, 0.0, 2.5, 30, 120, 0, 1, "0.91214"
0, lt, up, 2, 0.0, 2.5, 30, 120, 0, 1, "1.07462"
0, lt, down, 2, 0.0, 2.5, 30, 120, 0, 1, "0.74964"
0, lt, central, 2, 0.0, 2.5, 120, 180, 0, 1, "0.90771"
0, lt, up, 2, 0.0, 2.5, 120, 180, 0, 1, "1.00701"
0, lt, down, 2, 0.0, 2.5, 120, 180, 0, 1, "0.80834"
0, lt, central, 2, 0.0, 2.5, 120, 180, 0, 1, "0.90771"
0, lt, up, 2, 0.0, 2.5, 120, 180, 0, 1, "1.10631"
0, lt, down, 2, 0.0, 2.5, 120, 180, 0, 1, "0.70897"
0, lt, central, 2, 0.0, 2.5, 180, 240, 0, 1, "0.98221"
0, lt, up, 2, 0.0, 2.5, 180, 240, 0, 1, "1.02519"
0, lt, down, 2, 0.0, 2.5, 180, 240, 0, 1, "0.93912"
0, lt, central, 2, 0.0, 2.5, 180, 240, 0, 1, "0.98221"
0, lt, up, 2, 0.0, 2.5, 180, 240, 0, 1, "1.06817"
0, lt, down, 2, 0.0, 2.5, 180, 240, 0, 1, "0.89602"
0, lt, central, 2, 0.0, 2.5, 240, 450, 0, 1, "0.8833"
0, lt, up, 2, 0.0, 2.5, 240, 450, 0, 1, "0.9943"
0, lt, down, 2, 0.0, 2.5, 240, 450, 0, 1, "0.77204"
0, lt, central, 2, 0.0, 2.5, 240, 450, 0, 1, "0.8833"
0, lt, up, 2, 0.0, 2.5, 240, 450, 0, 1, "1.10529"
0, lt, down, 2, 0.0, 2.5, 240, 450, 0, 1, "0.66078"
1, lt, central, 2, 0.0, 2.5, 30, 120, 0, 1, "0.90945"
1, lt, up, 2, 0.0, 2.5, 30, 120, 0, 1, "1.00012"
1, lt, down, 2, 0.0, 2.5, 30, 120, 0, 1, "0.81875"
1, lt, central, 2, 0.0, 2.5, 30, 120, 0, 1, "0.90945"
1, lt, up, 2, 0.0, 2.5, 30, 120, 0, 1, "1.09079"
1, lt, down, 2, 0.0, 2.5, 30, 120, 0, 1, "0.72805"
1, lt, central, 2, 0.0, 2.5, 120, 180, 0, 1, "0.95695"
1, lt, up, 2, 0.0, 2.5, 120, 180, 0, 1, "1.05001"
1, lt, down, 2, 0.0, 2.5, 120, 180, 0, 1, "0.86364"
1, lt, central, 2, 0.0, 2.5, 120, 180, 0, 1, "0.95695"
1, lt, up, 2, 0.0, 2.5, 120, 180, 0, 1, "1.14307"
1, lt, down, 2, 0.0, 2.5, 120, 180, 0, 1, "0.77032"
1, lt, central, 2, 0.0, 2.5, 180, 240, 0, 1, "1.04871"
1, lt, up, 2, 0.0, 2.5, 180, 240, 0, 1, "1.10683"
1, lt, down, 2, 0.0, 2.5, 180, 240, 0, 1, "0.99034"
1, lt, central, 2, 0.0, 2.5, 180, 240, 0, 1, "1.04871"
1, lt, up, 2, 0.0, 2.5, 180, 240, 0, 1, "1.16494"
1, lt, down, 2, 0.0, 2.5, 180, 240, 0, 1, "0.93197"
1, lt, central, 2, 0.0, 2.5, 240, 450, 0, 1, "0.91987"
1, lt, up, 2, 0.0, 2.5, 240, 450, 0, 1, "1.01457"
1, lt, down, 2, 0.0, 2.5, 240, 450, 0, 1, "0.82441"
1, lt, central, 2, 0.0, 2.5, 240, 450, 0, 1, "0.91987"
1, lt, up, 2, 0.0, 2.5, 240, 450, 0, 1, "1.10927"
1, lt, down, 2, 0.0, 2.5, 240, 450, 0, 1, "0.72896"
0, incl, central, 2, 0.0, 2.5, 20, 1000, 0, 1, "1.28633+0.000194454*x+3.68642e-07*x*x-4.48844e-10*x*x*x "
0, incl, down, 2, 0.0, 2.5, 20, 1000, 0, 1, "1.21453+0.000114908*x+5.71514e-07*x*x-5.73171e-10*x*x*x "
0, incl, up, 2, 0.0, 2.5, 20, 1000, 0, 1, "1.35818+0.000274184*x+1.64584e-07*x*x-3.23984e-10*x*x*x "
1, incl, central, 2, 0.0, 2.5, 20, 1000, 0, 1, "1.61315-0.00131388*x+3.83896e-06*x*x-2.46171e-09*x*x*x "
1, incl, down, 2, 0.0, 2.5, 20, 1000, 0, 1, "1.41335-0.00130138*x+3.73287e-06*x*x-2.38111e-09*x*x*x "
1, incl, up, 2, 0.0, 2.5, 20, 1000, 0, 1, "1.81426-0.00133172*x+3.96074e-06*x*x-2.56176e-09*x*x*x "
2, incl, central, 2, 0.0, 2.5, 20, 1000, 0, 1, "1.73822-7.53842e-06*x+2.41538e-07*x*x "
2, incl, down, 2, 0.0, 2.5, 20, 1000, 0, 1, "1.329+2.79543e-06*x+2.07092e-07*x*x "
2, incl, up, 2, 0.0, 2.5, 20, 1000, 0, 1, "2.14772-1.96331e-05*x+2.79195e-07*x*x "
