DeepCSV; OP,measurement,sysType,jetFlavour,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,lt,central,0,-2.5,2.5,30,120,0,1,"0.98635"
0,lt,up,0,-2.5,2.5,30,120,0,1,"1.00041"
0,lt,down,0,-2.5,2.5,30,120,0,1,"0.97229"
0,lt,central,1,-2.5,2.5,30,120,0,1,"0.98635"
0,lt,up,1,-2.5,2.5,30,120,0,1,"1.01447"
0,lt,down,1,-2.5,2.5,30,120,0,1,"0.95823"
0,lt,central,0,-2.5,2.5,120,180,0,1,"0.99556"
0,lt,up,0,-2.5,2.5,120,180,0,1,"1.01176"
0,lt,down,0,-2.5,2.5,120,180,0,1,"0.97936"
0,lt,central,1,-2.5,2.5,120,180,0,1,"0.99556"
0,lt,up,1,-2.5,2.5,120,180,0,1,"1.02796"
0,lt,down,1,-2.5,2.5,120,180,0,1,"0.96316"
0,lt,central,0,-2.5,2.5,180,240,0,1,"0.98453"
0,lt,up,0,-2.5,2.5,180,240,0,1,"1.00701"
0,lt,down,0,-2.5,2.5,180,240,0,1,"0.96205"
0,lt,central,1,-2.5,2.5,180,240,0,1,"0.98453"
0,lt,up,1,-2.5,2.5,180,240,0,1,"1.02949"
0,lt,down,1,-2.5,2.5,180,240,0,1,"0.93957"
0,lt,central,0,-2.5,2.5,240,450,0,1,"0.97532"
0,lt,up,0,-2.5,2.5,240,450,0,1,"0.98854"
0,lt,down,0,-2.5,2.5,240,450,0,1,"0.96209"
0,lt,central,1,-2.5,2.5,240,450,0,1,"0.97532"
0,lt,up,1,-2.5,2.5,240,450,0,1,"1.00176"
0,lt,down,1,-2.5,2.5,240,450,0,1,"0.94887"
1,lt,central,0,-2.5,2.5,30,120,0,1,"0.95718"
1,lt,up,0,-2.5,2.5,30,120,0,1,"0.99927"
1,lt,down,0,-2.5,2.5,30,120,0,1,"0.9151"
1,lt,central,1,-2.5,2.5,30,120,0,1,"0.95718"
1,lt,up,1,-2.5,2.5,30,120,0,1,"1.04135"
1,lt,down,1,-2.5,2.5,30,120,0,1,"0.87301"
1,lt,central,0,-2.5,2.5,120,180,0,1,"0.98196"
1,lt,up,0,-2.5,2.5,120,180,0,1,"1.00107"
1,lt,down,0,-2.5,2.5,120,180,0,1,"0.96285"
1,lt,central,1,-2.5,2.5,120,180,0,1,"0.98196"
1,lt,up,1,-2.5,2.5,120,180,0,1,"1.02019"
1,lt,down,1,-2.5,2.5,120,180,0,1,"0.94373"
1,lt,central,0,-2.5,2.5,180,240,0,1,"0.98847"
1,lt,up,0,-2.5,2.5,180,240,0,1,"1.00153"
1,lt,down,0,-2.5,2.5,180,240,0,1,"0.9754"
1,lt,central,1,-2.5,2.5,180,240,0,1,"0.98847"
1,lt,up,1,-2.5,2.5,180,240,0,1,"1.0146"
1,lt,down,1,-2.5,2.5,180,240,0,1,"0.96233"
1,lt,central,0,-2.5,2.5,240,450,0,1,"0.96509"
1,lt,up,0,-2.5,2.5,240,450,0,1,"0.9852"
1,lt,down,0,-2.5,2.5,240,450,0,1,"0.94497"
1,lt,central,1,-2.5,2.5,240,450,0,1,"0.96509"
1,lt,up,1,-2.5,2.5,240,450,0,1,"1.00532"
1,lt,down,1,-2.5,2.5,240,450,0,1,"0.92485"
0, incl, central,2,0,2.4,20,1000,0,1," ""1.01035+0.000716785*x-8.62314e-07*x*x+4.61617e-10*x*x*x"" "
0, incl, down,2,0,2.4,20,1000,0,1," ""0.957625+0.000535786*x-4.36484e-07*x*x+1.95507e-10*x*x*x"" "
0, incl, up,2,0,2.4,20,1000,0,1," ""1.06293+0.000897375*x-1.2865e-06*x*x+7.26815e-10*x*x*x"" "
1, incl, central,2,0,2.4,20,1000,0,1," ""0.98942+0.000846199*x-4.38993e-07*x*x"" "
1, incl, down,2,0,2.4,20,1000,0,1," ""0.864808+0.000626747*x-2.50992e-07*x*x"" "
1, incl, up,2,0,2.4,20,1000,0,1," ""1.11381+0.00106669*x-6.28873e-07*x*x"" "
