DeepCSV; OperatingPoint, measurementType, sysType, jetFlavour, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
2, lt, central, 2, -2.5, 2.5, 30, 120, 0, 1, "0.97975"
2, lt, up, 2, -2.5, 2.5, 30, 120, 0, 1, "1.03366"
2, lt, down, 2, -2.5, 2.5, 30, 120, 0, 1, "0.92099"
2, lt, central, 2, -2.5, 2.5, 30, 120, 0, 1, "0.97975"
2, lt, up, 2, -2.5, 2.5, 30, 120, 0, 1, "1.08757"
2, lt, down, 2, -2.5, 2.5, 30, 120, 0, 1, "0.86222"
2, lt, central, 2, -2.5, 2.5, 120, 180, 0, 1, "0.95141"
2, lt, up, 2, -2.5, 2.5, 120, 180, 0, 1, "1.03851"
2, lt, down, 2, -2.5, 2.5, 120, 180, 0, 1, "0.86261"
2, lt, central, 2, -2.5, 2.5, 120, 180, 0, 1, "0.95141"
2, lt, up, 2, -2.5, 2.5, 120, 180, 0, 1, "1.12562"
2, lt, down, 2, -2.5, 2.5, 120, 180, 0, 1, "0.77382"
2, lt, central, 2, -2.5, 2.5, 180, 240, 0, 1, "0.99541"
2, lt, up, 2, -2.5, 2.5, 180, 240, 0, 1, "1.05941"
2, lt, down, 2, -2.5, 2.5, 180, 240, 0, 1, "0.9305"
2, lt, central, 2, -2.5, 2.5, 180, 240, 0, 1, "0.99541"
2, lt, up, 2, -2.5, 2.5, 180, 240, 0, 1, "1.1234"
2, lt, down, 2, -2.5, 2.5, 180, 240, 0, 1, "0.86559"
2, lt, central, 2, -2.5, 2.5, 240, 1000, 0, 1, "0.98072"
2, lt, up, 2, -2.5, 2.5, 240, 1000, 0, 1, "1.02783"
2, lt, down, 2, -2.5, 2.5, 240, 1000, 0, 1, "0.91884"
2, lt, central, 2, -2.5, 2.5, 240, 1000, 0, 1, "0.98072"
2, lt, up, 2, -2.5, 2.5, 240, 1000, 0, 1, "1.07493"
2, lt, down, 2, -2.5, 2.5, 240, 1000, 0, 1, "0.85696"
2, lt, central, 2, -2.5, 2.5, 30, 120, 0, 1, "0.95872"
2, lt, up, 2, -2.5, 2.5, 30, 120, 0, 1, "1.04201"
2, lt, down, 2, -2.5, 2.5, 30, 120, 0, 1, "0.87144"
2, lt, central, 2, -2.5, 2.5, 30, 120, 0, 1, "0.95872"
2, lt, up, 2, -2.5, 2.5, 30, 120, 0, 1, "1.12531"
2, lt, down, 2, -2.5, 2.5, 30, 120, 0, 1, "0.78416"
2, lt, central, 2, -2.5, 2.5, 120, 180, 0, 1, "0.89104"
2, lt, up, 2, -2.5, 2.5, 120, 180, 0, 1, "1.01906"
2, lt, down, 2, -2.5, 2.5, 120, 180, 0, 1, "0.75755"
2, lt, central, 2, -2.5, 2.5, 120, 180, 0, 1, "0.89104"
2, lt, up, 2, -2.5, 2.5, 120, 180, 0, 1, "1.14708"
2, lt, down, 2, -2.5, 2.5, 120, 180, 0, 1, "0.62407"
2, lt, central, 2, -2.5, 2.5, 180, 240, 0, 1, "1.02868"
2, lt, up, 2, -2.5, 2.5, 180, 240, 0, 1, "1.08301"
2, lt, down, 2, -2.5, 2.5, 180, 240, 0, 1, "0.96529"
2, lt, central, 2, -2.5, 2.5, 180, 240, 0, 1, "1.02868"
2, lt, up, 2, -2.5, 2.5, 180, 240, 0, 1, "1.13734"
2, lt, down, 2, -2.5, 2.5, 180, 240, 0, 1, "0.9019"
2, lt, central, 2, -2.5, 2.5, 240, 1000, 0, 1, "0.93204"
2, lt, up, 2, -2.5, 2.5, 240, 1000, 0, 1, "1.05529"
2, lt, down, 2, -2.5, 2.5, 240, 1000, 0, 1, "0.80761"
2, lt, central, 2, -2.5, 2.5, 240, 1000, 0, 1, "0.93204"
2, lt, up, 2, -2.5, 2.5, 240, 1000, 0, 1, "1.17854"
2, lt, down, 2, -2.5, 2.5, 240, 1000, 0, 1, "0.68318"
2, incl,  central, 2,  0,  2.4,  20,  1000,  0,  1, " "1.13229-0.000199506*x+7.41326e-07*x*x-5.21686e-10*x*x*x" "
2, incl,  down, 2,  0,  2.4,  20,  1000,  0,  1, " "1.04669-0.000200148*x+8.42438e-07*x*x-6.04708e-10*x*x*x" "
2, incl,  up, 2,  0,  2.4,  20,  1000,  0,  1, " "1.21803-0.000198664*x+6.38854e-07*x*x-4.37965e-10*x*x*x" "
2, incl,  central, 2,  0,  2.4,  20,  1000,  0,  1, " "0.991345+0.000138583*x+2.81386e-08*x*x" "
2, incl,  down, 2,  0,  2.4,  20,  1000,  0,  1, " "0.836145+0.000103764*x+2.18709e-08*x*x" "
2, incl,  up, 2,  0,  2.4,  20,  1000,  0,  1, " "1.14656+0.000173335*x+3.4515e-08*x*x""
