DeepCSV; OP,measurement,sysType,jetFlavour,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,lt,central,0,-2.5,2.5,30,120,0,1,"0.9293"
0,lt,up,0,-2.5,2.5,30,120,0,1,"0.99586"
0,lt,down,0,-2.5,2.5,30,120,0,1,"0.86269"
0,lt,central,1,-2.5,2.5,30,120,0,1,"0.9293"
0,lt,up,1,-2.5,2.5,30,120,0,1,"1.06242"
0,lt,down,1,-2.5,2.5,30,120,0,1,"0.79607"
0,lt,central,0,-2.5,2.5,120,180,0,1,"0.98566"
0,lt,up,0,-2.5,2.5,120,180,0,1,"1.03044"
0,lt,down,0,-2.5,2.5,120,180,0,1,"0.94083"
0,lt,central,1,-2.5,2.5,120,180,0,1,"0.98566"
0,lt,up,1,-2.5,2.5,120,180,0,1,"1.07521"
0,lt,down,1,-2.5,2.5,120,180,0,1,"0.89599"
0,lt,central,0,-2.5,2.5,180,240,0,1,"0.95986"
0,lt,up,0,-2.5,2.5,180,240,0,1,"1.01623"
0,lt,down,0,-2.5,2.5,180,240,0,1,"0.90348"
0,lt,central,1,-2.5,2.5,180,240,0,1,"0.95986"
0,lt,up,1,-2.5,2.5,180,240,0,1,"1.0726"
0,lt,down,1,-2.5,2.5,180,240,0,1,"0.8471"
0,lt,central,0,-2.5,2.5,240,450,0,1,"0.96968"
0,lt,up,0,-2.5,2.5,240,450,0,1,"1.03508"
0,lt,down,0,-2.5,2.5,240,450,0,1,"0.90415"
0,lt,central,1,-2.5,2.5,240,450,0,1,"0.96968"
0,lt,up,1,-2.5,2.5,240,450,0,1,"1.10048"
0,lt,down,1,-2.5,2.5,240,450,0,1,"0.83862"
1,lt,central,0,-2.5,2.5,30,120,0,1,"0.87815"
1,lt,up,0,-2.5,2.5,30,120,0,1,"1.01489"
1,lt,down,0,-2.5,2.5,30,120,0,1,"0.74135"
1,lt,central,1,-2.5,2.5,30,120,0,1,"0.87815"
1,lt,up,1,-2.5,2.5,30,120,0,1,"1.15163"
1,lt,down,1,-2.5,2.5,30,120,0,1,"0.60456"
1,lt,central,0,-2.5,2.5,120,180,0,1,"0.99259"
1,lt,up,0,-2.5,2.5,120,180,0,1,"1.06932"
1,lt,down,0,-2.5,2.5,120,180,0,1,"0.9158"
1,lt,central,1,-2.5,2.5,120,180,0,1,"0.99259"
1,lt,up,1,-2.5,2.5,120,180,0,1,"1.14605"
1,lt,down,1,-2.5,2.5,120,180,0,1,"0.839"
1,lt,central,0,-2.5,2.5,180,240,0,1,"0.9665"
1,lt,up,0,-2.5,2.5,180,240,0,1,"1.05893"
1,lt,down,0,-2.5,2.5,180,240,0,1,"0.87402"
1,lt,central,1,-2.5,2.5,180,240,0,1,"0.9665"
1,lt,up,1,-2.5,2.5,180,240,0,1,"1.15136"
1,lt,down,1,-2.5,2.5,180,240,0,1,"0.78154"
1,lt,central,0,-2.5,2.5,240,450,0,1,"0.93914"
1,lt,up,0,-2.5,2.5,240,450,0,1,"1.05965"
1,lt,down,0,-2.5,2.5,240,450,0,1,"0.81836"
1,lt,central,1,-2.5,2.5,240,450,0,1,"0.93914"
1,lt,up,1,-2.5,2.5,240,450,0,1,"1.18015"
1,lt,down,1,-2.5,2.5,240,450,0,1,"0.69758"
0, incl, central, 2, 0, 2.4, 20, 1000, 0, 1, "1.40572-0.00106955*x+2.22422e-06*x*x-1.39402e-09*x*x*x" 
0, incl, down, 2, 0, 2.4, 20, 1000, 0, 1, "1.29484-0.000973708*x+2.1709e-06*x*x-1.39083e-09*x*x*x" 
0, incl, up, 2, 0, 2.4, 20, 1000, 0, 1, "1.51704-0.00116494*x+2.27407e-06*x*x-1.3954e-09*x*x*x" 
1, incl, central, 2, 0, 2.4, 20, 1000, 0, 1, "1.36065-0.00080014*x+9.06839e-07*x*x" 
1, incl, down, 2, 0, 2.4, 20, 1000, 0, 1, "1.13696-0.000642036*x+7.46288e-07*x*x" 
1, incl, up, 2, 0, 2.4, 20, 1000, 0, 1, "1.58492-0.000960727*x+1.07126e-06*x*x" 
