OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,lt,central,5,0.0,2.5,30,120,0,1,0.90079
L,lt,up,5,0.0,2.5,30,120,0,1,0.99463
L,lt,down,5,0.0,2.5,30,120,0,1,0.8069
L,lt,central,4,0.0,2.5,30,120,0,1,0.90079
L,lt,up,4,0.0,2.5,30,120,0,1,1.08847
L,lt,down,4,0.0,2.5,30,120,0,1,0.713
L,lt,central,5,0.0,2.5,120,180,0,1,0.90048
L,lt,up,5,0.0,2.5,120,180,0,1,1.00007
L,lt,down,5,0.0,2.5,120,180,0,1,0.80086
L,lt,central,4,0.0,2.5,120,180,0,1,0.90048
L,lt,up,4,0.0,2.5,120,180,0,1,1.09967
L,lt,down,4,0.0,2.5,120,180,0,1,0.70124
L,lt,central,5,0.0,2.5,180,240,0,1,0.96447
L,lt,up,5,0.0,2.5,180,240,0,1,1.0316
L,lt,down,5,0.0,2.5,180,240,0,1,0.89723
L,lt,central,4,0.0,2.5,180,240,0,1,0.96447
L,lt,up,4,0.0,2.5,180,240,0,1,1.09873
L,lt,down,4,0.0,2.5,180,240,0,1,0.82998
L,lt,central,5,0.0,2.5,240,450,0,1,0.9804
L,lt,up,5,0.0,2.5,240,450,0,1,1.0421
L,lt,down,5,0.0,2.5,240,450,0,1,0.91846
L,lt,central,4,0.0,2.5,240,450,0,1,0.9804
L,lt,up,4,0.0,2.5,240,450,0,1,1.1038
L,lt,down,4,0.0,2.5,240,450,0,1,0.85651
M,lt,central,5,0.0,2.5,30,120,0,1,0.83513
M,lt,up,5,0.0,2.5,30,120,0,1,0.99962
M,lt,down,5,0.0,2.5,30,120,0,1,0.6706
M,lt,central,4,0.0,2.5,30,120,0,1,0.83513
M,lt,up,4,0.0,2.5,30,120,0,1,1.16411
M,lt,down,4,0.0,2.5,30,120,0,1,0.50606
M,lt,central,5,0.0,2.5,120,180,0,1,0.90373
M,lt,up,5,0.0,2.5,120,180,0,1,1.0402
M,lt,down,5,0.0,2.5,120,180,0,1,0.76722
M,lt,central,4,0.0,2.5,120,180,0,1,0.90373
M,lt,up,4,0.0,2.5,120,180,0,1,1.17668
M,lt,down,4,0.0,2.5,120,180,0,1,0.63072
M,lt,central,5,0.0,2.5,180,240,0,1,0.9439
M,lt,up,5,0.0,2.5,180,240,0,1,1.07106
M,lt,down,5,0.0,2.5,180,240,0,1,0.81658
M,lt,central,4,0.0,2.5,180,240,0,1,0.9439
M,lt,up,4,0.0,2.5,180,240,0,1,1.19822
M,lt,down,4,0.0,2.5,180,240,0,1,0.68925
M,lt,central,5,0.0,2.5,240,450,0,1,0.99267
M,lt,up,5,0.0,2.5,240,450,0,1,1.10582
M,lt,down,5,0.0,2.5,240,450,0,1,0.87917
M,lt,central,4,0.0,2.5,240,450,0,1,0.99267
M,lt,up,4,0.0,2.5,240,450,0,1,1.21898
M,lt,down,4,0.0,2.5,240,450,0,1,0.76566
L,incl,central,0,0.0,2.5,20,1000,0,1,1.28118-0.000616035*x+1.53114e-06*x*x-1.00472e-09*x*x*x 
L,incl,down,0,0.0,2.5,20,1000,0,1,1.18565-0.000578561*x+1.56176e-06*x*x-1.04516e-09*x*x*x 
L,incl,up,0,0.0,2.5,20,1000,0,1,1.37701-0.000653153*x+1.49802e-06*x*x-9.6301e-10*x*x*x 
M,incl,central,0,0.0,2.5,20,1000,0,1,1.21592-0.000265412*x+3.6702e-07*x*x 
M,incl,down,0,0.0,2.5,20,1000,0,1,1.01994-0.000203933*x+3.12234e-07*x*x 
M,incl,up,0,0.0,2.5,20,1000,0,1,1.41213-0.000327919*x+4.23421e-07*x*x 
T,incl,central,0,0.0,2.5,20,1000,0,1,1.03147+0.000110838*x+9.68704e-07*x*x-1.04097e-09*x*x*x 
T,incl,down,0,0.0,2.5,20,1000,0,1,0.766919+2.47228e-05*x+9.09227e-07*x*x-1.02256e-09*x*x*x 
T,incl,up,0,0.0,2.5,20,1000,0,1,1.29868+0.000159773*x+1.17171e-06*x*x-1.21923e-09*x*x*x 
