OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, lt, central, 2, 0.0, 2.5, 30, 120, 0, 1, "0.90079"
0, lt, up, 2, 0.0, 2.5, 30, 120, 0, 1, "0.99463"
0, lt, down, 2, 0.0, 2.5, 30, 120, 0, 1, "0.8069"
0, lt, central, 2, 0.0, 2.5, 30, 120, 0, 1, "0.90079"
0, lt, up, 2, 0.0, 2.5, 30, 120, 0, 1, "1.08847"
0, lt, down, 2, 0.0, 2.5, 30, 120, 0, 1, "0.713"
0, lt, central, 2, 0.0, 2.5, 120, 180, 0, 1, "0.90048"
0, lt, up, 2, 0.0, 2.5, 120, 180, 0, 1, "1.00007"
0, lt, down, 2, 0.0, 2.5, 120, 180, 0, 1, "0.80086"
0, lt, central, 2, 0.0, 2.5, 120, 180, 0, 1, "0.90048"
0, lt, up, 2, 0.0, 2.5, 120, 180, 0, 1, "1.09967"
0, lt, down, 2, 0.0, 2.5, 120, 180, 0, 1, "0.70124"
0, lt, central, 2, 0.0, 2.5, 180, 240, 0, 1, "0.96447"
0, lt, up, 2, 0.0, 2.5, 180, 240, 0, 1, "1.0316"
0, lt, down, 2, 0.0, 2.5, 180, 240, 0, 1, "0.89723"
0, lt, central, 2, 0.0, 2.5, 180, 240, 0, 1, "0.96447"
0, lt, up, 2, 0.0, 2.5, 180, 240, 0, 1, "1.09873"
0, lt, down, 2, 0.0, 2.5, 180, 240, 0, 1, "0.82998"
0, lt, central, 2, 0.0, 2.5, 240, 450, 0, 1, "0.9804"
0, lt, up, 2, 0.0, 2.5, 240, 450, 0, 1, "1.0421"
0, lt, down, 2, 0.0, 2.5, 240, 450, 0, 1, "0.91846"
0, lt, central, 2, 0.0, 2.5, 240, 450, 0, 1, "0.9804"
0, lt, up, 2, 0.0, 2.5, 240, 450, 0, 1, "1.1038"
0, lt, down, 2, 0.0, 2.5, 240, 450, 0, 1, "0.85651"
1, lt, central, 2, 0.0, 2.5, 30, 120, 0, 1, "0.83513"
1, lt, up, 2, 0.0, 2.5, 30, 120, 0, 1, "0.99962"
1, lt, down, 2, 0.0, 2.5, 30, 120, 0, 1, "0.6706"
1, lt, central, 2, 0.0, 2.5, 30, 120, 0, 1, "0.83513"
1, lt, up, 2, 0.0, 2.5, 30, 120, 0, 1, "1.16411"
1, lt, down, 2, 0.0, 2.5, 30, 120, 0, 1, "0.50606"
1, lt, central, 2, 0.0, 2.5, 120, 180, 0, 1, "0.90373"
1, lt, up, 2, 0.0, 2.5, 120, 180, 0, 1, "1.0402"
1, lt, down, 2, 0.0, 2.5, 120, 180, 0, 1, "0.76722"
1, lt, central, 2, 0.0, 2.5, 120, 180, 0, 1, "0.90373"
1, lt, up, 2, 0.0, 2.5, 120, 180, 0, 1, "1.17668"
1, lt, down, 2, 0.0, 2.5, 120, 180, 0, 1, "0.63072"
1, lt, central, 2, 0.0, 2.5, 180, 240, 0, 1, "0.9439"
1, lt, up, 2, 0.0, 2.5, 180, 240, 0, 1, "1.07106"
1, lt, down, 2, 0.0, 2.5, 180, 240, 0, 1, "0.81658"
1, lt, central, 2, 0.0, 2.5, 180, 240, 0, 1, "0.9439"
1, lt, up, 2, 0.0, 2.5, 180, 240, 0, 1, "1.19822"
1, lt, down, 2, 0.0, 2.5, 180, 240, 0, 1, "0.68925"
1, lt, central, 2, 0.0, 2.5, 240, 450, 0, 1, "0.99267"
1, lt, up, 2, 0.0, 2.5, 240, 450, 0, 1, "1.10582"
1, lt, down, 2, 0.0, 2.5, 240, 450, 0, 1, "0.87917"
1, lt, central, 2, 0.0, 2.5, 240, 450, 0, 1, "0.99267"
1, lt, up, 2, 0.0, 2.5, 240, 450, 0, 1, "1.21898"
1, lt, down, 2, 0.0, 2.5, 240, 450, 0, 1, "0.76566"
0, incl, central, 2, 0.0, 2.5, 20, 1000, 0, 1, "1.28118-0.000616035*x+1.53114e-06*x*x-1.00472e-09*x*x*x "
0, incl, down, 2, 0.0, 2.5, 20, 1000, 0, 1, "1.18565-0.000578561*x+1.56176e-06*x*x-1.04516e-09*x*x*x "
0, incl, up, 2, 0.0, 2.5, 20, 1000, 0, 1, "1.37701-0.000653153*x+1.49802e-06*x*x-9.6301e-10*x*x*x "
1, incl, central, 2, 0.0, 2.5, 20, 1000, 0, 1, "1.21592-0.000265412*x+3.6702e-07*x*x "
1, incl, down, 2, 0.0, 2.5, 20, 1000, 0, 1, "1.01994-0.000203933*x+3.12234e-07*x*x "
1, incl, up, 2, 0.0, 2.5, 20, 1000, 0, 1, "1.41213-0.000327919*x+4.23421e-07*x*x "
2, incl, central, 2, 0.0, 2.5, 20, 1000, 0, 1, "1.03147+0.000110838*x+9.68704e-07*x*x-1.04097e-09*x*x*x "
2, incl, down, 2, 0.0, 2.5, 20, 1000, 0, 1, "0.766919+2.47228e-05*x+9.09227e-07*x*x-1.02256e-09*x*x*x "
2, incl, up, 2, 0.0, 2.5, 20, 1000, 0, 1, "1.29868+0.000159773*x+1.17171e-06*x*x-1.21923e-09*x*x*x "
